07/11 15:10:16.905 | 15:10:16.307 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=109.542
07/11 15:10:16.905 | 15:10:16.307 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 11 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:16.905 | 15:10:16.307 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 12 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:17.015 | 15:10:16.417 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=110.503
07/11 15:10:17.015 | 15:10:16.417 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 10 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:17.016 | 15:10:16.418 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 11 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:17.125 | 15:10:16.527 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=108.581
07/11 15:10:17.125 | 15:10:16.527 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 9 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:17.125 | 15:10:16.527 : #00004F68 #Con#Info        TFilesProtocolDecoder.ProcessMarketHoursReceived: F
07/11 15:10:17.125 | 15:10:16.527 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 10 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:17.234 | 15:10:16.636 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=109.147
07/11 15:10:17.234 | 15:10:16.636 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 8 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:17.234 | 15:10:16.636 : #00004F68 #Con#Info        TFilesProtocolDecoder.ProcessMarketHoursReceived: E
07/11 15:10:17.234 | 15:10:16.636 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 9 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:17.343 | 15:10:16.745 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=108.924
